company,role,title,department,location,posting_date,remote_status,employment_type,apply_url,required_skills,description
JPMorgan,"Product Manager, Tokenization - Vice President","Product Manager, Tokenization - Vice President","Consumer & Community Banking Posting Date 06/01/2026, 09","s 880 Powder Mill Rd, Wilmington, DE, 19803, US Apply Before 06/26/2026, 12",on 05,On-Site,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210686668,"Job responsibilities, Manage product backlog, production support, issue & defect resolution and prioritization., Monitor against agreed goals and benchmarks, identifying, scoping and finding implementation paths for needed enhancements, and creating remediation plans when needed., Work with Technology and Design teams to lead product developments efforts., Conduct pre-release reviews which could include regression testing and quality assurance to certify the release as production ready., Collaborate with a team of cross-functional partners (i.e. Risk, Control, Compliance, Legal) to ensure a strong risk and controls environment., Deliver communications to executives and leadership team on the strategy and progress., Publish regular executive reports summarizing the overall health of the product, industry and competitive trends and the voice of the customer., Required qualifications, capabilities, and skills, 7+ years of experience in financial services, digital, product management and/or Agile software development.","The Payments organization is a motivated, forward-thinking team comprised of high talent product managers with a singular focus of delivering innovative payment services via the most important platforms of today and tomorrow. We seek to transform customer experiences, simplify the ways we do business, and tirelessly drive toward product excellence. We value controls, simplicity, and consistency in the capabilities and features we deliver. As a Vice President of Tokenization on the Connected Commerce team, you will manage product backlog, remediate issues, and lead Agile teams to launch innovative solutions. You'll leverage critical thinking skills and data analytics to understand client usage patterns and triage issues. In the interest of providing superior customer support and developing solutions that best meet customer needs. You will work directly with various servicing and technical support teams, and provide product management leadership to agile teams."
JPMorgan,Part Time Associate Banker South Dallas (30 hours),Part Time Associate Banker South Dallas (30 hours),"Consumer & Community Banking Posting Date 06/01/2026, 09","s 685 W Illinois Ave, Dallas, TX, 75224, US Apply Before 06/06/2026, 12",on 04,On-Site,Part Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210708096,"Ability to put clients first and exceed their expectations – delivering attentive and friendly service, creating a welcoming environment., Ability to build trusted relationships – demonstrating genuine care and concern during interactions with clients., Ability to engage clients – communicating clearly and politely to understand and help, anticipating client needs., Ability to quickly and effectively resolve client issues with attention to detail – providing a consistent client experience., Ability to elevate the client experience – working collaboratively as a team to deliver seamless service with care and sincerity., Ability to quickly and accurately learn products, services, and procedures., Client service experience or comparable experience., High school diploma or GED equivalent.","Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs."
JPMorgan,Transaction Processing Specialist,Transaction Processing Specialist,"Commercial & Investment Bank Posting Date 06/01/2026, 02",s Prima Bay Tower A Lower,,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210720748,"Demonstrate understanding of financial services industry, products, and processes, Apply strong analytical skills with clear communication and presentation abilities, Show ownership and responsibility to drive tasks to completion, Focus on clients and sustain high standards of customer care practices, Drive results through teamwork, influence, and effective interactions, Utilize strong computer skills in MS Excel, Word, PowerPoint, and Outlook, Hold a Bachelor’s degree","Join a high-performing operations team that powers Commercial & Investment Banking by executing complex transactions with precision. In this role, you will resolve exceptions, manage client inquiries, and provide subject matter expertise to strengthen client outcomes. Bring a control mindset and a passion for improvement to help streamline processes and enhance regulatory reporting."
JPMorgan,Lead Cybersecurity Architect,Lead Cybersecurity Architect,"Corporate Sector Posting Date 06/01/2026, 03","s Parcel 9, Embassy Tech Village, Outer Ring Road, Deverabeesanhalli Village, Varthur Hobli, Bengaluru, IN-KA, 560103, IN Apply Before 06/30/2026, 12",,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210728959,"Advanced knowledge of cybersecurity architecture, applications, and technical processes with considerable, in-depth knowledge in one or more technical disciplines, Ability to design and implement effective cybersecurity and technology controls, Subject matter expert-level knowledge of Google Cloud Platform, Azure, and/or AWS with how controls are applied to secure data and maintain availability., Good knowledge of cloud services such as PaaS, IaaS, and SaaS and Kubernetes solutions (e.g., Anthos, AKS, EKS, etc.)., Experience with cloud security posture management and cybersecurity vulnerability management., Knowledge of security best practices and DevSecOps methodologies., Good understanding of network security, network design, firewalls, etc., Experience with authorization and authentication implementation and best practices., Strong written and verbal communication skill, APPLY NOW","As a Senior Lead Cybersecurity Architect at JPMorgan Chase within Cybersecurity and Technology Controls organization supporting Chase UK and JPMorgan Personal Investing, you will be an integral part of a team that works to develop high-quality cybersecurity solutions for various software applications and platform products."
JPMorgan,Card Fraud Strategy – Associate,Card Fraud Strategy – Associate,"Consumer & Community Banking Posting Date 06/01/2026, 03","s Parcel 9, Embassy Tech Village, Outer Ring Road, Deverabeesanhalli Village, Varthur Hobli, Bengaluru, IN-KA, 560103, IN Nirlon Knowledge Park, Western Express Highway, Goregaon (East), Mumbai, IN-MH, 400063, IN Job Schedule Full time Job Shift Day JOB DESCRIPTION As a part of Fraud Strategy, you are at the center of keeping JPMorgan Chase strong and resilient",on 05,On-Site,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210732517,"MS degree and 2+ years (or BS degree and 4+ years) of experience in risk management/data analytics. Relevant fraud experience preferred, Excellent collaboration and partnership skills with proven track record in working well with internal teams and external partners, Ability to think strategically to come up with a vison for areas of responsibility, develop roadmaps and drive execution to balance short-term vs long-term solutions, Strong analytical thought leadership with the ability to leverage AI and machine learning to drive effective and innovative solutions, Strong process management and project management skills with the ability to drive capability development. Product management experience is a plus, Strong communication skills with the ability to communicate effectively and strategically to senior leaders and key stakeholders, Demonstrated strong curiosity to learn and attention to details to drive analytical and execution quality","As a part of Fraud Strategy, you are at the center of keeping JPMorgan Chase strong and resilient. You help the firm grow its business in a responsible way by anticipating new and emerging risks, and using your expert judgement to solve real-world challenges that impact our company, customers and communities. Our culture in Fraud Strategy is all about thinking outside the box, challenging the status quo and striving to be best-in-class."
JPMorgan,Quant Analytics Card Finance Senior Associate,Quant Analytics Card Finance Senior Associate,"Consumer & Community Banking Posting Date 06/01/2026, 12","s 201 N Walnut St, Wilmington, DE, 19801, US Job Schedule Full time JOB DESCRIPTION Join our Credit Strategy Forecasting",on 03,On-Site,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210734776,"Bachelor's or Master's degree in Statistics, Mathematics, Economics, Finance, Engineering, or a related quantitative field., 4+ years of experience in credit risk analytics, multi-year financial forecasting, or model development, Proficiency in Microsoft Excel for financial modeling and output presentation, Strong proficiency in statistical and financial modeling, including time-series analysis, segmentation, and extrapolation techniques., Hands-on experience with SAS and/or SQL for extracting, transforming, and summarizing large datasets from enterprise data warehouses., Solid understanding of outstanding balances, revolving behavior, sales activity, and NPV and P&L frameworks., Familiarity with model risk management principles, including documentation standards, performance monitoring, and independent review processes., Ability to clearly articulate complex analytical findings to both technical and non-technical audiences, including senior leadership., Strong commitment to data accuracy, reconciliation, and quality control in a regulated environment., Demonstrated ability to work effectively across Risk, Finance, and Analytics functions in a matrixed organization.","Join our Credit Strategy Forecasting & Model Governance team within Consumer and Business Banking for an exciting opportunity to develop, maintain, and govern quantitative forecasting frameworks that estimate customer credit behavior and engagement over multiple years horizons."
JPMorgan,Software Engineer III,Software Engineer III,"Consumer & Community Banking Posting Date 06/01/2026, 03","s MAGMA,UNIT-1,PHASE-IV,SY NO",on 12,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210735781,"Formal training or certification in software engineering concepts and 3+ years applied experience, Hands-on practical experience in system design, application development, testing, and operational stability, Proficient in Java, AWS, Python, Proficient in AWS cloud skills (IAM, ECS, Lambda, S3, RDS, CloudWatch)., Experience in developing, debugging, and maintaining code in a large corporate environment with one or more modern programming languages and database querying languages, Overall knowledge of the Software Development Life Cycle, Solid understanding of agile methodologies such as CI/CD, Application Resiliency, and Security, Demonstrated knowledge of software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning, mobile, etc.)",We have an exciting and rewarding opportunity for you to take your software engineering career to the next level.
JPMorgan,Wealth Management - Asia Strategic Equity Solutions - Executive Director,Wealth Management - Asia Strategic Equity Solutions - Executive Director,"Asset & Wealth Management Posting Date 06/01/2026, 03","s Chater House, 8 Connaught Road Central, Hong Kong, HKI, 999077, HK Job Schedule Full time JOB DESCRIPTION The Strategic Equity Solutions Specialist drives cross-divisional collaboration, harnessing the full capabilities of JPMorganChase",on 01,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210737131,"University degree in finance, economics, or other related disciplines., Expertise in concentrated stock disposal, hedging, cash and derivatives financing solutions from trading, sales, and risk management perspectives., Strong understanding of market risks from pricing and execution perspectives., Excellent client management, analytical, and communication skills., Advanced skills in data analytics and Excel; strong quantitative and analytical proficiency., High level of integrity, team spirit, and adaptability in a demanding environment., Solid knowledge of local regulatory policies and guidelines, with relevant qualifications and licenses.","The Strategic Equity Solutions Specialist drives cross-divisional collaboration, harnessing the full capabilities of JPMorganChase. This role serves as the primary contact for institutional clients, offering highly customized solutions for managing concentrated equity positions, and working closely with key teams to deliver a comprehensive suite of products."
JPMorgan,"Software Engineer III - Python, AWS, GenAI","Software Engineer III - Python, AWS, GenAI","Asset & Wealth Management Posting Date 06/01/2026, 01","s Parcel 9, Embassy Tech Village, Outer Ring Road, Deverabeesanhalli Village, Varthur Hobli, Bengaluru, IN-KA, 560103, IN Apply Before 06/19/2026, 12",on 05,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210745277,"Formal training or certification on software engineering concepts and 3+ years applied experience, Advanced python programming skills., Proven experience in building and operating scalable ML-driven products., Hands on experience in Azure and AWS., Experience working in a highly regulated environment., Proven ability to iterate quickly., Proficient in all aspects of the Software Development Life Cycle., Terraform, IaaC experience., Experience with design & delivery of large scale cloud-native architectures., Experience with microservices performance tuning, performance optimization, real-time applications.",We have an exciting and rewarding opportunity for you to take your software engineering career to the next level.
JPMorgan,Associate - APAC Firmwide Chief Data Office,Associate - APAC Firmwide Chief Data Office,"Commercial & Investment Bank Posting Date 06/01/2026, 02","s 77 Hoi Bun Road, Hong Kong, K, 999077, HK Job Schedule Full time Job Shift Day JOB DESCRIPTION Job responsibilities Drive delivery",on 06,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210748541,"Bachelor’s degree (Finance, Technology, Data, or related discipline)., 6+ years’ experience in data, finance, technology, risk, or governance roles within a leading financial institution., Proven capability in project management (planning, tracking, reporting, and stakeholder coordination)., Strong written and verbal communication, with ability to tailor messages for different seniority levels., Strong analytical and problem-solving skills; able to work through ambiguity and drive outcomes., Strong stakeholder management across functions, regions, and seniority levels., Proficient in PowerPoint and Excel; able to produce clear, executive-ready materials.","The Firmwide Chief Data Office is a business-centric team responsible for executing the firm’s data management strategy and ensuring data policies, governance, and standards are applied consistently across lines of business and functions. As a Vice President, Data Governance (APAC), you will lead Southeast Asia data governance execution, driving priorities across data quality, controls, privacy, and regulatory deliverables. You will run governance forums, deliver measurable outcomes through cross-functional teams, and partner closely with Business, Operations, Technology, and AI/ML stakeholders to strengthen the firm’s data environment."
